adm1_name,Area,Lat,Lon,Waterways,adm1_code,population,Easting,Northing,Longitude,Latitude,MPI,MPI_incidence,MPI_intensity,Muslim,Christian
Abia,0.3965429048009287,5.4533021189195825,7.523189981967188,0.8976169407211194,65698,3802539,1459763.7933569262,-4916261.168813426,7.523189981967188,5.453302118919583,0.101,29.8,33.9,0.1,91.3
Adamawa,3.1130065092724286,9.323227331978972,12.400240775699976,27.74370311014788,2211,4946724,1997470.028431126,-4463829.386706253,12.400240775699976,9.323227331978972,0.283,68.7,41.2,50.0,40.0
Akwa Ibom,0.5494761535936732,4.906643134561908,7.84736624649367,2.622983264052414,2212,5449818,1497148.7145451903,-4976992.196927538,7.84736624649367,4.906643134561908,0.293,71.3,41.1,0.0,95.8
Anambra,0.392660759198666,6.222775876473439,6.932186088031399,2.7418253007221924,2213,5494926,1392070.4136042884,-4831197.151597388,6.932186088031399,6.222775876473439,0.109,32.1,34.1,0.7,72.6
Bauchi,4.011017534858016,10.796647164882812,9.990588234110133,27.15687278431379,65699,7222452,1719832.0209245456,-4307811.551465844,9.990588234110133,10.796647164882812,0.298,73.9,40.4,83.4,14.9
Bayelsa,0.7767679055779982,4.766315392876971,6.080417668394572,38.49904249163373,65700,2394195,1299024.2146206964,-4995334.531547614,6.080417668394572,4.766315392876971,0.401,88.5,45.3,10.0,79.2
Benue,2.57836325971095,7.341086057629309,8.751907951010807,5.4710851161682434,2215,6282546,1593517.15416654,-4701569.635383338,8.751907951010807,7.341086057629309,0.312,75.0,41.6,2.8,53.4
Borno,5.987848714595807,11.888980100206933,13.153346984526962,42.576610921940656,2216,5884116,2068241.8778438545,-4166934.766059188,13.153346984526962,11.888980100206933,0.315,72.5,43.4,88.3,2.7
Cross River,1.7112182413769648,5.873919917501246,8.598974758863495,11.30258957358727,2217,3666248,1579901.098164896,-4866928.338086592,8.598974758863495,5.873919917501246,0.299,75.4,39.7,3.0,82.0
Delta,1.39408200625357,5.704898234854848,5.936929598192746,29.090327417408428,2218,5746119,1281624.122239942,-4890778.743607781,5.936929598192746,5.704898234854848,0.173,47.6,36.4,0.7,81.3
Ebonyi,0.5180495957819752,6.262027249277776,8.016266262545862,3.135510899764019,65701,2900754,1513542.3539234125,-4824592.861592774,8.016266262545862,6.262027249277776,0.32,78.0,41.1,0.7,74.5
Edo,1.5958086141970715,6.633537264421524,5.930214659778057,6.553723281456751,2219,4275642,1279322.0187568665,-4787160.044235382,5.930214659778057,6.633537264421524,0.126,35.4,35.6,19.0,58.2
Ekiti,0.4716337216762166,7.720080403716114,5.309515526441268,0.0,65702,3263741,1208173.4837766956,-4667155.591142438,5.309515526441268,7.720080403716114,0.125,36.0,34.9,10.6,79.0
Enugu,0.6243229467653651,6.536244896216677,7.440611162631195,0.5000910680033301,65703,4361568,1448383.6320838514,-4795079.40262255,7.440611162631195,6.536244896216677,0.234,63.1,37.2,0.5,77.1
